ID,时间,交易对,方向,幅度%,回撤%,入场价,最大盈利%,最大亏损%,最终盈亏%,盈利时间ms,亏损时间ms,TP0.3_SL0.2_结果,TP0.3_SL0.2_盈亏,TP0.3_SL0.3_结果,TP0.3_SL0.3_盈亏,TP0.3_SL0.5_结果,TP0.3_SL0.5_盈亏,TP0.5_SL0.2_结果,TP0.5_SL0.2_盈亏,TP0.5_SL0.3_结果,TP0.5_SL0.3_盈亏,TP0.5_SL0.5_结果,TP0.5_SL0.5_盈亏,TP0.8_SL0.2_结果,TP0.8_SL0.2_盈亏,TP0.8_SL0.3_结果,TP0.8_SL0.3_盈亏,TP0.8_SL0.5_结果,TP0.8_SL0.5_盈亏
币安人生USDT_20260112125622_1,2026-01-12 12:56:22.222,币安人生USDT,UP,0.31,30.6,0.1593,0.766,-0.044,0.603,39209,4112,TP,-0.20,TP,-0.20,TP,-0.20,TP,-0.17,TP,-0.17,TP,-0.17,TP,-0.12,TP,-0.12,TP,-0.12
TAOUSDT_20260112125644_16,2026-01-12 12:56:44.184,TAOUSDT,DOWN,0.32,30.4,289.7900,0.010,-0.093,-0.048,3,29021,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
ZECUSDT_20260112125708_23,2026-01-12 12:57:08.372,ZECUSDT,DOWN,0.33,65.2,414.2000,0.193,-0.193,0.039,21446,6,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31
币安人生USDT_20260112125844_34,2026-01-12 12:58:44.904,币安人生USDT,UP,0.30,39.6,0.1588,0.246,-0.497,-0.044,30049,7968,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
BUSDT_20260112125852_39,2026-01-12 12:58:52.098,BUSDT,DOWN,0.36,30.0,0.2772,0.072,-1.154,-0.685,0,15034,TP,-0.19,TP,-0.19,TP,-0.19,TP,-0.16,TP,-0.16,TP,-0.16,TP,-0.12,TP,-0.12,TP,-0.12
BUSDT_20260112125902_51,2026-01-12 12:59:02.872,BUSDT,DOWN,0.61,94.1,0.2770,0.000,-1.083,-0.794,0,4260,SL,-0.27,SL,-0.29,SL,-0.31,SL,-0.27,SL,-0.29,SL,-0.31,SL,-0.27,SL,-0.29,SL,-0.31
BUSDT_20260112125908_63,2026-01-12 12:59:08.532,BUSDT,UP,0.44,33.3,0.2752,0.363,-0.218,0.363,61236,154,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
ZECUSDT_20260112130022_68,2026-01-12 13:00:22.294,ZECUSDT,UP,0.33,99.3,414.5000,0.111,-0.273,0.084,59572,5,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112130113_163,2026-01-12 13:01:13.150,RIVERUSDT,UP,0.37,93.8,17.6690,0.000,-0.962,-0.939,0,58723,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112130116_188,2026-01-12 13:01:16.355,RIVERUSDT,UP,0.33,89.8,17.7240,0.000,-0.649,-0.508,0,55518,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
BUSDT_20260112130144_255,2026-01-12 13:01:44.238,BUSDT,UP,0.36,30.0,0.2769,0.253,-0.144,0.217,56769,0,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
VVVUSDT_20260112130242_259,2026-01-12 13:02:42.729,VVVUSDT,UP,0.40,76.9,3.2940,0.000,-0.425,-0.334,0,30127,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
BREVUSDT_20260112130647_262,2026-01-12 13:06:47.020,BREVUSDT,UP,0.45,93.3,0.3358,0.000,-0.357,-0.179,0,7,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112130715_323,2026-01-12 13:07:15.738,RIVERUSDT,UP,0.50,94.3,17.6450,0.000,-0.856,-0.584,0,4072,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112130718_426,2026-01-12 13:07:18.710,RIVERUSDT,UP,0.36,84.4,17.7150,0.000,-0.457,-0.164,0,1100,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
币安人生USDT_20260112130856_442,2026-01-12 13:08:56.855,币安人生USDT,DOWN,0.37,60.3,0.1573,0.121,-0.216,0.095,40381,3,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31
BUSDT_20260112131047_463,2026-01-12 13:10:47.041,BUSDT,DOWN,0.33,66.7,0.2747,0.291,-0.218,0.000,19034,10463,SL,-0.27,SL,-0.28,SL,-0.32,SL,-0.27,SL,-0.28,SL,-0.32,SL,-0.27,SL,-0.28,SL,-0.32
BUSDT_20260112131359_478,2026-01-12 13:13:59.313,BUSDT,DOWN,0.51,71.4,0.2743,0.073,-0.437,-0.073,2,730,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
